area_name,area_code,from_share,to_share
Rogers Park,1,54.5,45.5
West Ridge,2,44.7,55.3
Uptown,3,45.4,54.6
Lincoln Square,4,49.1,50.9
North Center,5,47.4,52.6
Lake View,6,51.8,48.2
Lincoln Park,7,46.8,53.2
Near North Side,8,49.3,50.7
Edison Park,9,54.3,45.7
Norwood Park,10,41.5,58.5
Jefferson Park,11,61.1,38.9
Forest Glen,12,42.7,57.3
North Park,13,39.8,60.2
Albany Park,14,51.3,48.7
Portage Park,15,30.6,69.4
Irving Park,16,50.5,49.5
Dunning,17,46.6,53.4
Montclare,18,55.6,44.4
Belmont Cragin,19,51.8,48.2
Hermosa,20,36.9,63.1
Avondale,21,47.3,52.7
Logan Square,22,52.8,47.2
Humboldt Park,23,45.4,54.6
West Town,24,38.3,61.7
Austin,25,53.4,46.6
West Garfield Park,26,42.9,57.1
East Garfield Park,27,45.2,54.8
Near West Side,28,44.7,55.3
North Lawndale,29,52.1,47.9
South Lawndale,30,44.2,55.8
Lower West Side,31,44.3,55.7
The Loop,32,53.5,46.5
Near South Side,33,47.7,52.3
Armour Square,34,38.4,61.6
Douglas,35,45.1,54.9
Oakland,36,50.2,49.8
Fuller Park,37,44.9,55.1
Grand Boulevard,38,46.3,53.7
Kenwood,39,54,46
Washington Park,40,45.4,54.6
Hyde Park,41,50.7,49.3
Woodlawn,42,45.7,54.3
South Shore,43,48,52
Chatham,44,52.9,47.1
Avalon Park,45,42.9,57.1
South Chicago,46,54.3,45.7
Burnside,47,78,22
Calumet Heights,48,33.7,66.3
Roseland,49,47.3,52.7
Pullman,50,55.8,44.2
South Deering,51,60,40
East Side,52,63.2,36.8
West Pullman,53,55.7,44.3
Riverdale,54,44.1,55.9
Hegewisch,55,69.2,30.8
Garfield Ridge,56,55.9,44.1
Archer Heights,57,37.8,62.2
Brighton Park,58,46.4,53.6
McKinley Park,59,49.5,50.5
Bridgeport,60,45.7,54.3
New City,61,48.2,51.8
West Elsdon,62,38.6,61.4
Gage Park,63,48.1,51.9
Clearing,64,25.7,74.3
West Lawn,65,46.9,53.1
Chicago Lawn,66,57.9,42.1
West Englewood,67,50,50
Englewood,68,47.1,52.9
Greater Grand Crossing,69,46.5,53.5
Ashburn,70,46.7,53.3
Auburn Gresham,71,55.4,44.6
Beverly,72,50.9,49.1
Washington Heights,73,47.9,52.1
Mount Greenwood,74,50,50
Morgan Park,75,52.5,47.5
O'Hare,76,55.6,44.4
Edgewater,77,50.4,49.6